,,,,,,,,,
,,,,,,,,,
,,Paper Repository,Publishing year,Domain,Search criterias (abstract),,,,Papers Count
,,Arxiv,2022,cs ex.,"""machine learning""",,,,6335
,,Arxiv,2022,cs ex.,"""machine learning""",fairness,,,332
,,Arxiv,2022,cs ex.,"""machine learning""",ethic*,,,66
,,Arxiv,2022,cs ex.,"""machine learning""",fair*,,,355
,,Arxiv,2022,cs ex.,"""machine learning""",recognition,,,
,,Arxiv,2022,cs ex.,"""machine learning""",identification,,,175
,,Arxiv,2022,cs ex.,"""machine learning""",privacy,,,575
,,Arxiv,2022,cs,"""machine learning""",fairness,,,367
,,Arxiv,2022,cs,"""machine learning""",ethic*,,,74
,,Arxiv,2022,cs,"""machine learning""",fair*,,,395
,,Arxiv,2022,cs,"""machine learning""",recognition,,,
,,Arxiv,2022,cs,"""machine learning""",identification,,,212
,,Arxiv,2022,cs,"""machine learning""",privacy,,,613
,,Arxiv,2021,cs ex.,"""machine learning""",,,,5862
,,Arxiv,2021,cs ex.,"""machine learning""",fairness,,,220
,,Arxiv,2021,cs ex.,"""machine learning""",ethic*,,,76
,,Arxiv,2021,cs ex.,"""machine learning""",privacy,,,454
,,Arxiv,2020,cs ex.,"""machine learning""",,,,4612
,,Arxiv,2020,cs ex.,"""machine learning""",fairness,,,179
,,Arxiv,2020,cs ex.,"""machine learning""",ethic*,,,57
,,Arxiv,2020,cs ex.,"""machine learning""",privacy,,,346
,,Arxiv,2019,cs ex.,"""machine learning""",,,,3229
,,Arxiv,2019,cs ex.,"""machine learning""",fairness,,,115
,,Arxiv,2019,cs ex.,"""machine learning""",ethic*,,,31
,,Arxiv,2019,cs ex.,"""machine learning""",privacy,,,189
,,Arxiv,2018,cs ex.,"""machine learning""",,,,2062
,,Arxiv,2018,cs ex.,"""machine learning""",fairness,,,47
,,Arxiv,2018,cs ex.,"""machine learning""",ethic*,,,10
,,Arxiv,2018,cs ex.,"""machine learning""",privacy,,,92
,,Arxiv,2017,cs ex.,"""machine learning""",,,,1207
,,Arxiv,2017,cs ex.,"""machine learning""",fairness,,,16
,,Arxiv,2017,cs ex.,"""machine learning""",ethic*,,,6
,,Arxiv,2017,cs ex.,"""machine learning""",privacy,,,44
,,Arxiv,2016,cs ex.,"""machine learning""",,,,761
,,Arxiv,2016,cs ex.,"""machine learning""",fairness,,,6
,,Arxiv,2016,cs ex.,"""machine learning""",ethic*,,,2
,,Arxiv,2016,cs ex.,"""machine learning""",privacy,,,20
,,Arxiv,2015,cs ex.,"""machine learning""",,,,413
,,Arxiv,2015,cs ex.,"""machine learning""",fairness,,,2
,,Arxiv,2015,cs ex.,"""machine learning""",ethic*,,,0
,,Arxiv,2015,cs ex.,"""machine learning""",privacy,,,13
,,Arxiv,2014,cs ex.,"""machine learning""",,,,283
,,Arxiv,2014,cs ex.,"""machine learning""",fairness,,,0
,,Arxiv,2014,cs ex.,"""machine learning""",ethic*,,,0
,,Arxiv,2014,cs ex.,"""machine learning""",privacy,,,6
,,Arxiv,2013,cs ex.,"""machine learning""",,,,221
,,Arxiv,2013,cs ex.,"""machine learning""",fairness,,,0
,,Arxiv,2013,cs ex.,"""machine learning""",ethic*,,,0
,,Arxiv,2013,cs ex.,"""machine learning""",privacy,,,5
,,Arxiv,2012,cs ex.,"""machine learning""",,,,166
,,Arxiv,2012,cs ex.,"""machine learning""",fairness,,,0
,,Arxiv,2012,cs ex.,"""machine learning""",ethic*,,,0
,,Arxiv,2012,cs ex.,"""machine learning""",privacy,,,2
,,Arxiv,2022,cs,"""machine learning""",,,,10302
,,Arxiv,2021,cs,"""machine learning""",,,,8976
,,Arxiv,2020,cs,"""machine learning""",,,,7395
,,Arxiv,2019,cs,"""machine learning""",,,,5104
,,Arxiv,2018,cs,"""machine learning""",,,,3305
,,Arxiv,2017,cs,"""machine learning""",,,,1921
,,Arxiv,2016,cs,"""machine learning""",,,,1194
,,Arxiv,2015,cs,"""machine learning""",,,,687
,,Arxiv,2014,cs,"""machine learning""",,,,483
,,Arxiv,2013,cs,"""machine learning""",,,,341
,,Arxiv,2012,cs,"""machine learning""",,,,241